,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,hilo,90,US,1612411136,57,19.7297,-155.09,78.8,9.22
1,busselton,0,AU,1612411136,42,-33.65,115.3333,73.0,3.0
2,seoul,0,KR,1612411136,26,37.5683,126.9778,28.4,2.3
3,yar-sale,98,RU,1612411136,91,66.8333,70.8333,-6.72,10.63
4,korla,0,CN,1612411136,75,41.7597,86.1469,33.26,3.58
5,castro,100,BR,1612411087,91,-24.7911,-50.0119,68.31,2.46
6,iqaluit,90,CA,1612411028,77,63.7506,-68.5145,-4.0,2.3
7,richards bay,100,ZA,1612411007,90,-28.783,32.0377,74.08,5.12
8,cidreira,100,BR,1612411137,92,-30.1811,-50.2056,76.08,7.49
9,saint-philippe,0,RE,1612411137,61,-21.3585,55.7679,82.99,4.61
10,cape town,20,ZA,1612410842,82,-33.9258,18.4232,68.0,14.97
11,khatanga,24,RU,1612411137,85,71.9667,102.5,-23.19,12.59
12,bengkulu,81,ID,1612410978,63,-3.8004,102.2655,85.42,6.64
13,srednekolymsk,31,RU,1612411138,88,67.45,153.6833,-14.13,4.79
14,kodiak,1,US,1612411095,80,57.79,-152.4072,32.0,6.91
15,jamestown,1,US,1612410932,86,42.097,-79.2353,23.0,16.11
16,mataura,0,NZ,1612411138,38,-46.1927,168.8643,64.33,8.48
17,rocha,100,UY,1612410986,94,-34.4833,-54.3333,66.02,7.05
18,esperance,90,AU,1612411139,42,-33.8667,121.9,64.4,17.27
19,dingle,78,PH,1612410974,77,10.9995,122.6711,82.09,15.84
20,yellowknife,90,CA,1612410973,69,62.456,-114.3525,-18.0,9.22
21,rikitea,0,PF,1612410961,71,-23.1203,-134.9692,78.06,12.66
22,totness,69,SR,1612411139,88,5.8833,-56.3167,76.96,13.02
23,vila franca do campo,20,PT,1612410988,71,37.7167,-25.4333,50.0,5.75
24,poum,16,NC,1612411139,81,-20.2333,164.0167,80.28,17.81
25,bubaque,77,GW,1612411139,64,11.2833,-15.8333,77.67,8.95
26,kijang,0,KR,1612411139,23,35.2442,129.2139,44.6,11.5
27,port alfred,46,ZA,1612411140,91,-33.5906,26.891,69.01,1.99
28,hithadhoo,64,MV,1612410955,71,-0.6,73.0833,83.14,8.05
29,vanimo,100,PG,1612411140,70,-2.6741,141.3028,83.03,3.76
30,jerez,0,GT,1612411140,87,14.1,-89.75,56.79,4.63
31,ushuaia,75,AR,1612411065,87,-54.8,-68.3,48.2,6.91
32,plainview,45,US,1612411140,72,40.7765,-73.4673,33.01,1.99
33,wahpeton,90,US,1612411140,93,46.2652,-96.6059,26.6,3.44
34,pisco,0,PE,1612410952,78,-13.7,-76.2167,71.6,6.91
35,presidencia roque saenz pena,31,AR,1612410995,97,-26.7852,-60.4388,69.01,1.99
36,luganville,100,VU,1612411141,68,-15.5333,167.1667,85.01,2.82
37,touros,0,BR,1612411141,83,-5.1989,-35.4608,77.0,6.91
38,mogadishu,36,SO,1612411141,83,2.0371,45.3438,75.7,17.4
39,hobart,40,AU,1612410869,53,-42.8794,147.3294,78.01,8.05
40,port elizabeth,0,ZA,1612410931,94,-33.918,25.5701,66.2,6.91
41,qaanaaq,0,GL,1612410927,63,77.484,-69.3632,-22.4,4.47
42,butaritari,67,KI,1612411142,83,3.0707,172.7902,81.52,15.97
43,boca do acre,92,BR,1612411142,94,-8.7522,-67.3978,74.55,0.98
44,chokurdakh,99,RU,1612411142,90,70.6333,147.9167,-2.65,15.37
45,pacific grove,20,US,1612411058,76,36.6177,-121.9166,53.01,6.82
46,cherepovets,90,RU,1612411142,93,59.1333,37.9,21.2,8.95
47,ahuimanu,86,US,1612411142,73,21.4447,-157.8378,73.4,5.06
48,wukari,67,NG,1612411142,19,7.85,9.7833,73.33,7.0
49,hasaki,20,JP,1612411142,30,35.7333,140.8333,53.6,18.41
50,longyearbyen,75,SJ,1612410971,68,78.2186,15.6401,23.0,13.8
51,norman wells,75,CA,1612411143,74,65.282,-126.8329,-38.2,5.75
52,kloulklubed,75,PW,1612410978,74,7.0419,134.2556,86.0,12.66
53,saldanha,10,ZA,1612411143,88,-33.0117,17.9442,62.6,9.22
54,hami,54,CN,1612411143,70,42.8,93.45,34.7,4.45
55,mstera,100,RU,1612411143,98,56.3789,41.92,26.92,7.16
56,arraial do cabo,0,BR,1612410990,88,-22.9661,-42.0278,76.15,22.35
57,kaeo,34,NZ,1612410991,64,-35.1,173.7833,71.74,7.47
58,kapit,100,MY,1612411144,69,2.0167,112.9333,84.6,1.16
59,santarem,20,BR,1612411144,94,-2.4431,-54.7083,75.2,4.16
60,bluff,0,NZ,1612411144,61,-46.6,168.3333,57.09,24.05
61,punta arenas,0,CL,1612411144,82,-53.15,-70.9167,55.4,12.66
